# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
shei shuo 	誰說	c=1 d=0.000112788 t=127284
shei yong 	誰用	c=1 d=0.00778933 t=127284
shei zai 	誰在	c=1 d=0.298197 t=127284
shen 	神	c=10 d=0.0861849 t=127284
shen ce 	神測	c=1 d=2.60487e-28 t=127284
shen ceng 	深層	c=1 d=2.57895e-28 t=127284
shen cha 	審查	c=8 d=1.64955 t=127284
shen cheng 	申城	c=1 d=2.46681e-05 t=127284
shen chuan 	身穿	c=9 d=0.00015674 t=127284
shen de 	深得	c=1 d=1.15482e-17 t=127284
shen du 	深度	c=12 d=3.13596e-05 t=127284
shen du xue xi 	深度學習	c=2 d=0.13068 t=127284
shen er 	甚而	c=0 d=1.25621e-08 t=127284
shen er ma 	甚而嗎	c=1 d=1.2625e-07 t=127284
shen fen 	身份	c=28 d=0.572866 t=127284
shen fen yan zheng 	身份驗證	c=1 d=0.0010333 t=127284
shen fen zheng 	身份證	c=5 d=0.0186982 t=127284
shen geng 	深耕	c=1 d=2.65342e-10 t=127284
shen he 	審覈	c=2 d=0.460704 t=127284
shen hou 	深厚	c=1 d=4.27997e-17 t=127284
shen hou 	身後	c=1 d=4.25863e-17 t=127284
shen jing 	神經	c=4 d=1.35289e-07 t=127284
shen jing bing 	神經病	c=1 d=3.00928e-20 t=127284
shen jing wang luo 	神經網絡	c=1 d=5.34243e-08 t=127284
shen ke 	深刻	c=2 d=5.77512e-28 t=127284
shen me 	什麼	c=933 d=11.9568 t=127284
shen me jiao 	什麼叫	c=1 d=5.56046e-08 t=127284
shen me qing kuang 	什麼情況	c=1 d=2.85911e-06 t=127284
shen me shu 	什麼書	c=1 d=2.25596e-42 t=127284
shen mei 	審美	c=1 d=0.000126534 t=127284
shen men 	身門	c=1 d=0.0266491 t=127284
shen mo 	神魔	c=1 d=1.25599e-05 t=127284
shen qi 	神奇	c=1 d=4.56401e-67 t=127284
shen qing 	申請	c=19 d=0.804413 t=127284
shen qing 	神情	c=1 d=0.66034 t=127284
shen qing duo le 	申請多了	c=1 d=3.09829e-10 t=127284
shen ru 	深入	c=4 d=0.411442 t=127284
shen se 	深色	c=3 d=8.87187e-13 t=127284
shen se 	神色	c=1 d=5.56425e-16 t=127284
shen ti 	身體	c=4 d=0.553 t=127284
shen tou 	滲透	c=1 d=0.527292 t=127284
shen wa 	深挖	c=1 d=0.467666 t=127284
shen xian 	神仙	c=2 d=1.78234e-05 t=127284
shen yi 	神醫	c=2 d=0.0848685 t=127284
shen yue 	審閱	c=8 d=0.0964708 t=127284
shen zhan 	伸展	c=2 d=1.04656e-06 t=127284
shen zhi 	甚至	c=15 d=0.506018 t=127284
shen zhong shen 	神中神	c=1 d=0.000483239 t=127284
sheng 	剩	c=5 d=0.504262 t=127284
sheng 	昇	c=1 d=5.54516e-05 t=127284
sheng 	牲	c=1 d=1.30206e-17 t=127284
sheng 	生	c=7 d=0.126818 t=127284
sheng 	省	c=10 d=0.726164 t=127284
sheng 	聲	c=1 d=0.08291 t=127284
sheng bing 	生病	c=0 d=0.0932394 t=127284
sheng bu shao 	省不少	c=1 d=1.22032e-19 t=127284
sheng chan 	生產	c=5 d=1.0516 t=127284
sheng chen 	生辰	c=0 d=6.50841e-08 t=127284
sheng chen tong guo 	生辰通過	c=1 d=6.54104e-07 t=127284
sheng cheng 	生成	c=182 d=2.51651 t=127284
sheng cheng 	聲稱	c=1 d=0.798516 t=127284
sheng cheng le 	生成了	c=1 d=0.000120363 t=127284
sheng cheng lie 	生成列	c=1 d=4.56586e-13 t=127284
sheng cheng ne gai 	生成呢該	c=1 d=0.0889216 t=127284
sheng cheng qi 	生成器	c=5 d=0.0100518 t=127284
sheng chi 	生吃	c=1 d=3.03003e-42 t=127284
sheng ci ben 	生詞本	c=1 d=0.0262523 t=127284
sheng dan jie 	聖誕節	c=0 d=0.00672055 t=127284
sheng dao 	聲道	c=1 d=1 t=126075
sheng de 	剩的	c=1 d=0.00660453 t=127284
sheng de 	生的	c=1 d=5.22223e-05 t=127284
sheng dian 	省點	c=1 d=3.04428e-09 t=127284
sheng dong 	生動	c=4 d=0.00856561 t=127284
sheng ga 	省噶	c=1 d=4.26008e-21 t=127284
sheng gao 	升高	c=3 d=0.918512 t=127284
sheng ge 	剩個	c=1 d=1.83881e-19 t=127284
sheng huo 	生活	c=8 d=0.214723 t=127284
sheng huo fei 	生活費	c=2 d=1.21003 t=127284
sheng ji 	升級	c=16 d=0.256661 t=127284
sheng jing 	聖經	c=5 d=0.729789 t=127284
sheng le 	剩了	c=2 d=0.000176005 t=127284
sheng li 	勝利	c=1 d=0.00315111 t=127284
sheng li 	省力	c=1 d=1 t=126152
sheng liu 	省流	c=3 d=0.210136 t=127284
sheng lve 	省略	c=13 d=0.199014 t=127284
sheng ming 	生命	c=4 d=0.079714 t=127284
sheng ming 	聲明	c=33 d=2.14212 t=127284
sheng ming zhou qi 	生命週期	c=1 d=6.21336e-20 t=127284
sheng qian 	省錢	c=3 d=0.0237541 t=127284
sheng qing 	盛情	c=1 d=3.08284e-10 t=127284
sheng ri 	生日	c=3 d=2.26041 t=127284
sheng tai 	生態	c=6 d=0.593035 t=127284
sheng tao 	聲討	c=1 d=0.402524 t=127284
sheng tian 	昇天	c=1 d=0.064894 t=127284
sheng xia 	剩下	c=3 d=1.9298 t=127284
sheng xia de 	剩下的	c=1 d=5.97704e-05 t=127284
sheng xiao 	生效	c=19 d=0.472612 t=127284
sheng xin 	省心	c=2 d=4.40582e-15 t=127284
sheng xu 	升序	c=2 d=0.13466 t=127284
sheng yin 	聲音	c=7 d=0.718924 t=127284
sheng ying 	生硬	c=0 d=1.09511e-11 t=127284
sheng yu 	剩餘	c=16 d=0.982117 t=127284
sheng yu de 	剩餘的	c=2 d=6.007e-05 t=127284
sheng zai 	勝在	c=2 d=0.000290183 t=127284
shi 	事	c=18 d=0.806541 t=127284
shi 	使	c=36 d=1.497 t=127284
shi 	史	c=10 d=0.497488 t=127284
shi 	始	c=2 d=0.00735266 t=127284
shi 	屍	c=1 d=7.88882e-64 t=127284
shi 	屎	c=14 d=0.511278 t=127284
shi 	師	c=1 d=2.72671e-07 t=127284
shi 	式	c=12 d=0.973376 t=127284
shi 	是	c=2571 d=8.55472 t=127284
shi 	時	c=500 d=1.86736 t=127284
shi 	示	c=2 d=5.6991e-33 t=127284
shi 	試	c=3 d=0.0655541 t=127284
shi 	詩	c=1 d=4.43936e-06 t=127284
shi a 	是啊	c=3 d=0.017163 t=127284
shi ba 	是吧	c=6 d=0.000155324 t=127284
shi bai 	失敗	c=96 d=0.493049 t=127284
shi bai le 	失敗了	c=1 d=1 t=124599
shi bie 	識別	c=36 d=0.131366 t=127284
shi bu 	是不	c=1 d=0.000349153 t=127284
shi bu shi 	是不是	c=43 d=1.34391 t=127284
shi bu tai 	是不太	c=1 d=0.245367 t=127284
shi can 	实参	c=5 d=0.000337019 t=127284
shi ce 	實測	c=6 d=0.718924 t=127284
shi chang 	市場	c=4 d=0.00360365 t=127284
shi chang 	時長	c=1 d=7.03182e-64 t=127284
shi chu lai 	始出來	c=2 d=1.70365e-22 t=127284
shi ci 	詩詞	c=1 d=1.01563e-06 t=127284
shi cong 	是從	c=1 d=2.05402e-27 t=127284
shi da shi 	實打實	c=1 d=0.733447 t=127284
shi dai 	時代	c=0 d=2.44976e-42 t=127284
shi dang 	適當	c=5 d=1.51618e-14 t=127284
shi dang de 	適當地	c=1 d=0.00148106 t=127284
shi dao ru jin 	事到如今	c=1 d=0.031273 t=127284
shi de 	似地	c=2 d=1.38832e-07 t=127284
shi de 	使得	c=4 d=9.28533e-11 t=127284
shi de 	是的	c=18 d=0.860708 t=127284
shi dian 	十點	c=1 d=3.29671e-05 t=127284
shi duo shao 	是多少	c=2 d=0.771345 t=127284
shi fang 	釋放	c=32 d=1.01265 t=127284
shi fang le 	釋放了	c=1 d=1.37451e-07 t=127284
shi fen 	十分	c=14 d=1.58653 t=127284
shi fen zhong 	十分鐘	c=1 d=1.77037e-14 t=127284
shi fo 	石佛	c=2 d=7.05168e-09 t=127284
shi fou 	是否	c=188 d=2.49334 t=127284
shi fou yao 	是否要	c=1 d=4.15419e-19 t=127284
shi fu 	師傅	c=1 d=5.37652e-24 t=127284
shi ge 	是個	c=7 d=0.763379 t=127284
shi ge 	詩歌	c=1 d=1.02072e-06 t=127284
shi gong 	施工	c=16 d=1.90808 t=127284
shi guo 	試過	c=3 d=3.20811e-08 t=127284
shi he 	適合	c=18 d=0.633268 t=127284
shi hou 	時候	c=32 d=1.6514 t=127284
shi hua 	實話	c=3 d=0.585669 t=127284
shi hua shuo 	實話說	c=12 d=0.518726 t=127284
shi hua shuo 	是話說	c=1 d=1.57725e-08 t=127284
shi huang 	始皇	c=16 d=9.35253e-08 t=127284
shi hui 	實惠	c=1 d=2.47917e-05 t=127284
shi ji 	十幾	c=1 d=2.83066e-07 t=127284
shi ji 	實際	c=42 d=1.45197 t=127284
shi ji 	時機	c=4 d=2.11844e-08 t=127284
shi ji ceng 	十幾層	c=1 d=2.84485e-06 t=127284
shi ji miao 	十幾秒	c=1 d=3.57189e-07 t=127284
shi ji na 	實際那	c=1 d=4.99669e-15 t=127284
shi ji nian 	十幾年	c=1 d=4.79832e-09 t=127284
shi ji shang 	實際上	c=11 d=0.889818 t=127284
shi ji wan 	十幾萬	c=1 d=0.115325 t=127284
shi ji yong hu 	實際用戶	c=7 d=4.02597e-37 t=127284
shi ji zu 	實際組	c=2 d=7.71714e-40 t=127284
shi jia 	試駕	c=2 d=7.64289e-15 t=127284
shi jian 	世間	c=0 d=0.0606531 t=127284
shi jian 	事件	c=55 d=2.42164 t=127284
shi jian 	實踐	c=14 d=0.219985 t=127284
shi jian 	時間	c=147 d=2.5554 t=127284
shi jian chuang kou 	時間窗口	c=1 d=2.98137e-28 t=127284
shi jian chuo 	時間戳	c=5 d=4.70171e-05 t=127284
shi jian dian 	時間點	c=2 d=1.05726e-08 t=127284
shi jian jian ge 	時間間隔	c=1 d=2.61748e-26 t=127284
shi jian shi 	世間事	c=1 d=0.609571 t=127284
shi jian xian 	時間線	c=1 d=0.102284 t=127284
shi jiang 	是將	c=1 d=7.13856e-06 t=127284
shi jiao 	視角	c=5 d=0.905757 t=127284
shi jie 	世界	c=13 d=0.782705 t=127284
shi jie shang 	世界上	c=3 d=0.755859 t=127284
shi jin zhi 	十進制	c=1 d=0.0018734 t=127284
shi jue 	視覺	c=4 d=0.392586 t=127284
shi ke 	時刻	c=3 d=1.82901e-15 t=127284
shi le 	試了	c=11 d=0.745035 t=127284
shi le shi 	試了試	c=2 d=2.67964e-08 t=127284
shi le xia 	試了下	c=1 d=1.93743e-16 t=127284
shi li 	失利	c=1 d=2.61392e-10 t=127284
shi li 	實例	c=23 d=1.05236 t=127284
shi li 	實力	c=2 d=0.408608 t=127284
shi li 	示例	c=15 d=1.56098 t=127284
shi li hua 	實例化	c=2 d=0.0381375 t=127284
shi li tao jin 	屎裏淘金	c=1 d=7.16191e-15 t=127284
shi liang 	矢量	c=2 d=9.57941e-12 t=127284
shi liu 	十六	c=1 d=0.165299 t=127284
shi liu jin zhi 	十六進制	c=1 d=1 t=123836
shi ma 	是嗎	c=1 d=6.54883e-21 t=127284
shi mian 	失眠	c=1 d=2.27359e-16 t=127284
shi mian shang 	市面上	c=2 d=7.12013e-05 t=127284
shi ming 	使命	c=1 d=4.222e-33 t=127284
shi ming 	實名	c=12 d=0.0995377 t=127284
shi ming ren zheng 	實名認證	c=1 d=0.00193045 t=127284
shi ni 	使你	c=0 d=5.02687e-28 t=127284
shi ni 	是你	c=1 d=0.486752 t=127284
shi ni de 	使你的	c=1 d=5.05207e-27 t=127284
shi nian 	十年	c=2 d=0.442639 t=127284
shi nian qian 	十年前	c=1 d=7.44912e-07 t=127284
shi niao 	屎尿	c=0 d=1.77466e-14 t=127284
shi niao pi 	屎尿屁	c=2 d=2.92442e-07 t=127284
shi ou niao gai 	是鷗鳥該	c=1 d=1.53459e-09 t=127284
shi pei 	適配	c=10 d=0.0398815 t=127284
shi pin 	視頻	c=13 d=0.66365 t=127284
shi pin liu 	視頻流	c=1 d=1 t=126580
shi qi 	使其	c=18 d=1.00815 t=127284
shi qi 	十七	c=1 d=0.0645703 t=127284
shi qi 	溼氣	c=1 d=4.09874e-08 t=127284
shi qing 	事情	c=2 d=0.431711 t=127284
shi qu 	失去	c=2 d=1.81834e-05 t=127284
shi qu 	時區	c=9 d=0.000220485 t=127284
shi ren 	十人	c=1 d=0.179066 t=127284
shi sa huang 	是撒謊	c=1 d=4.01758e-08 t=127284
shi sha 	是啥	c=72 d=2.54955 t=127284
shi shan 	屎山	c=3 d=0.628135 t=127284
shi shei 	是誰	c=12 d=1.42197 t=127284
shi shen me 	是什麼	c=136 d=2.37829 t=127284
shi sheng 	師生	c=1 d=1.96096e-11 t=127284
shi shi 	事實	c=4 d=0.0153752 t=127284
shi shi 	實施	c=0 d=6.52505e-38 t=127284
shi shi 	實時	c=5 d=0.017905 t=127284
shi shi 	試試	c=24 d=1.45651 t=127284
shi shi hou 	是時候	c=2 d=1.70817e-09 t=127284
shi shi jiao yi 	實時交易	c=1 d=5.01747e-05 t=127284
shi shi kuo zhan 	實施擴展	c=1 d=6.55776e-37 t=127284
shi shi kuo zhan 	實時擴展	c=3 d=6.91918e-21 t=127284
shi shi qiu shi 	實事求是	c=1 d=4.61331e-17 t=127284
shi shi shang 	事實上	c=4 d=0.000119165 t=127284
shi shi xin hao 	實時信號	c=1 d=2.75262e-30 t=127284
shi shu 	實數	c=1 d=6.85821e-64 t=127284
shi tang 	食堂	c=8 d=0.000617396 t=127284
shi ti 	實體	c=9 d=0.88275 t=127284
shi tu 	試圖	c=9 d=8.59363e-12 t=127284
shi tu 	識圖	c=4 d=1.10685 t=127284
shi wan ge 	十萬個	c=1 d=4.68224e-15 t=127284
shi wei 	視爲	c=2 d=0.000122794 t=127284
shi wo 	使我	c=1 d=1.8027e-21 t=127284
shi wo 	是我	c=17 d=1.44521 t=127284
shi wo de 	是我的	c=2 d=2.3348e-05 t=127284
shi wo shi 	是我是	c=1 d=0.000992781 t=127284
shi wu 	事務	c=2 d=1.07843e-06 t=127284
shi wu 	事物	c=3 d=1.07306e-06 t=127284
shi wu 	失誤	c=2 d=4.51735e-05 t=127284
shi xi 	實習	c=16 d=1.19257 t=127284
shi xi an 	時西安	c=1 d=1.12008e-40 t=127284
shi xi na 	是吸納	c=1 d=3.19982e-07 t=127284
shi xi tong 	是系統	c=1 d=0.000122794 t=127284
shi xian 	事先	c=1 d=2.08116e-05 t=127284
shi xian 	實現	c=331 d=9.0347 t=127284
shi xian 	實線	c=1 d=2.07649e-08 t=127284
shi xian 	時限	c=2 d=5.93362e-23 t=127284
shi xian ai 	實現愛	c=1 d=0.000291637 t=127284
shi xian de 	實現的	c=4 d=0.109827 t=127284
shi xian le 	實現了	c=2 d=0.324652 t=127284
shi xian le yi ge 	實現了一個	c=1 d=0.396531 t=127284
shi xian ne 	實現呢	c=1 d=0.00752142 t=127284
shi xiao 	失效	c=13 d=0.481909 t=127284
shi xiao 	實效	c=1 d=2.44843e-64 t=127284
shi xing 	適性	c=0 d=2.99173e-11 t=127284
shi yan 	實驗	c=132 d=4.32409 t=127284
shi yan 	時延	c=3 d=5.51689e-05 t=127284
shi yan bao gao 	實驗報告	c=1 d=1 t=124310
shi yan er 	實驗二	c=2 d=0.228779 t=127284
shi yan san 	實驗三	c=1 d=4.20751e-22 t=127284
shi yan shi 	實驗室	c=0 d=1.8027e-22 t=127284
shi yan shi te mai 	實驗室特賣	c=1 d=1.81174e-21 t=127284
shi yan si 	實驗四	c=1 d=6.57382e-07 t=127284
shi yang 	式樣	c=3 d=0.132655 t=127284
shi yi 	屍憶	c=2 d=1.58122 t=127284
shi yi 	是一	c=0 d=1.00601e-42 t=127284
shi yi 	適宜	c=1 d=9.18981e-07 t=127284
shi yi ben 	是一本	c=1 d=0.00227676 t=127284
shi yi ge 	十一個	c=1 d=7.19367e-67 t=127284
shi yi ge 	是一個	c=11 d=0.457555 t=127284
shi yi ou na ge 	屍憶偶哪個	c=1 d=0.00535353 t=127284
shi yi xia 	試一下	c=2 d=0.00304273 t=127284
shi yi zhong 	是一種	c=1 d=2.93948e-38 t=127284
shi yin wei 	是因爲	c=4 d=0.857735 t=127284
shi ying 	適應	c=23 d=5.77993 t=127284
shi ying shi ying 	適應適應	c=1 d=0.597501 t=127284
shi yo 	是喲	c=1 d=3.2409e-10 t=127284
shi yong 	使用	c=1005 d=8.20419 t=127284
shi yong 	是用	c=2 d=8.06848e-05 t=127284
shi yong 	試用	c=1 d=1.13941e-06 t=127284
shi yong 	適用	c=1 d=1.58569e-12 t=127284
shi yong de 	使用的	c=1 d=1 t=126738
shi yong le 	使用了	c=3 d=6.08411e-08 t=127284
shi yong neng gou 	使用能夠	c=1 d=0.0238732 t=127284
shi yong wan cheng 	使用完成	c=1 d=0.00178203 t=127284
shi yong yu 	適用於	c=5 d=0.156453 t=127284
shi you 	是有	c=2 d=0.484325 t=127284
shi you 	石油	c=1 d=1.27233e-10 t=127284
shi zai 	實在	c=13 d=0.937067 t=127284
shi zai 	是在	c=1 d=0.00329615 t=127284
shi zai shi 	實在是	c=2 d=2.9763e-08 t=127284
shi zhan 	實戰	c=5 d=0.647731 t=127284
shi zhe 	試着	c=3 d=1.25296e-06 t=127284
shi zhe yang 	是這樣	c=4 d=0.00273944 t=127284
shi zhen 	是真	c=3 d=0.494109 t=127284
shi zhi 	使之	c=1 d=0.00050296 t=127284
shi zhi 	是指	c=4 d=0.0934807 t=127284
shi zhong 	始終	c=5 d=0.0144798 t=127284
shi zhong 	時鐘	c=19 d=0.0207543 t=127284
shi zong 	失蹤	c=3 d=1.65012e-10 t=127284
shou 	受	c=2 d=9.83405e-10 t=127284
shou 	守	c=2 d=1.81435 t=127284
shou 	手	c=2 d=1.33757e-10 t=127284
shou 	收	c=11 d=0.177284 t=127284
shou 	首	c=4 d=7.63639e-05 t=127284
shou ai 	首爱	c=0 d=6.02768e-17 t=127284
shou ai nan 	首爱南	c=1 d=6.05789e-16 t=127284
shou bu dao 	收不到	c=1 d=1.11974e-07 t=127284
shou bu liao 	受不了	c=2 d=0.0678809 t=127284
shou cang 	收藏	c=1 d=7.33049e-24 t=127284
shou ce 	手冊	c=2 d=0.748264 t=127284
shou ce na ge 	手冊那個	c=1 d=7.29393e-24 t=127284
shou ce ye 	手冊頁	c=1 d=0.937067 t=127284
shou cheng 	守成	c=1 d=0.937067 t=127284
shou chong 	手衝	c=1 d=3.09724e-06 t=127284
shou cuo 	手搓	c=3 d=0.00219846 t=127284
shou dao 	受到	c=1 d=1.37283e-22 t=127284
shou dao 	收到	c=10 d=0.800217 t=127284
shou dian 	收點	c=1 d=7.168e-25 t=127284
shou dong 	手動	c=48 d=0.896337 t=127284
shou dong de 	手動的	c=1 d=5.22223e-05 t=127284
shou fei 	收費	c=3 d=0.066205 t=127284
shou ge 	首個	c=1 d=0.814647 t=127284
shou gong 	手工	c=3 d=0.196912 t=127284
shou hang 	首行	c=1 d=2.12465e-13 t=127284
shou hu 	守護	c=1 d=0.856415 t=127284
shou huo 	收穫	c=11 d=1.89258 t=127284
shou ji 	手機	c=51 d=2.47905 t=127284
shou ji 	收集	c=5 d=0.416862 t=127284
shou ji fei 	手機費	c=0 d=2.4612e-38 t=127284
shou ji hao 	手機號	c=4 d=0.352477 t=127284
shou ji shang 	手機上	c=1 d=0.0713613 t=127284
shou jian 	手賤	c=2 d=9.58798e-06 t=127284
shou jin cheng 	首進程	c=4 d=9.81787e-19 t=127284
shou le 	收了	c=4 d=0.0140978 t=127284
shou li 	手裏	c=1 d=8.92277e-13 t=127284
shou ming 	壽命	c=1 d=1.32791e-13 t=127284
shou qian 	收錢	c=2 d=0.0104952 t=127284
shou quan 	授權	c=1 d=5.83145e-09 t=127284
shou shang 	受傷	c=1 d=0.0042963 t=127284
shou shang 	手上	c=3 d=0.220996 t=127284
shou sheng 	手生	c=0 d=5.94723e-06 t=127284
shou sheng le 	手生了	c=1 d=5.97704e-05 t=127284
shou shi 	收拾	c=1 d=0.612626 t=127284
shou shuo 	收說	c=1 d=0.831104 t=127284
shou tui 	首推	c=2 d=0.000591417 t=127284
shou wei 	首尾	c=1 d=6.34988e-11 t=127284
shou xia 	手下	c=1 d=1.11579e-06 t=127284
shou xia ai 	手下愛	c=1 d=1.45573e-06 t=127284
shou xian 	受限	c=4 d=0.0502894 t=127284
shou xian 	首先	c=13 d=0.379083 t=127284
shou xie 	手寫	c=17 d=1.58657 t=127284
shou xie de 	手寫的	c=1 d=0.0383884 t=127284
shou xu fei 	手續費	c=2 d=3.02388e-18 t=127284
shou xuan 	首選	c=1 d=0.496585 t=127284
shou ye 	首頁	c=1 d=1.91157e-05 t=127284
shou yi 	收益	c=3 d=0.0267827 t=127284
shou yu 	授予	c=2 d=1.26315e-13 t=127284
shou zhong 	手中	c=1 d=0.215456 t=127284
shou zi 	首字	c=3 d=2.42517e-09 t=127284
shou zi mu 	首字母	c=2 d=7.71314e-05 t=127284
shu 	屬	c=1 d=0.00178203 t=127284
shu 	數	c=38 d=1.29615 t=127284
shu 	書	c=20 d=3.47192 t=127284
shu 	樹	c=40 d=2.49632 t=127284
shu 	熟	c=2 d=5.54516e-05 t=127284
shu 	術	c=1 d=1 t=127284
shu bai 	數百	c=1 d=0.00571306 t=127284
shu bei 	數倍	c=2 d=0.631284 t=127284
shu biao 	鼠標	c=30 d=1.62462 t=127284
shu chu 	輸出	c=156 d=2.74842 t=127284
shu chu duan 	輸出端	c=2 d=0.697676 t=127284
shu de 	熟的	c=1 d=5.30116e-05 t=127284
shu di 	屬地	c=4 d=5.77536e-05 t=127284
shu dian 	數電	c=3 d=0.337299 t=127284
shu fu 	叔父	c=3 d=0.088098 t=127284
shu fu 	舒服	c=3 d=0.516851 t=127284
shu fu ma 	舒服嗎	c=1 d=8.21968e-18 t=127284
shu jia 	暑假	c=9 d=0.00626814 t=127284
shu ju 	數據	c=258 d=4.27102 t=127284
shu ju bao 	數據包	c=1 d=0.000949097 t=127284
shu ju biao 	數據表	c=18 d=0.0251875 t=127284
shu ju chuan shu 	數據傳輸	c=1 d=2.9757e-35 t=127284
shu ju cun chu 	數據存儲	c=1 d=2.13407e-65 t=127284
shu ju duan 	數據段	c=1 d=9.66561e-42 t=127284
shu ju fen xi 	數據分析	c=1 d=1.06383e-22 t=127284
shu ju ge 	數據個	c=1 d=3.84943e-05 t=127284
shu ju ji 	數據集	c=2 d=0.135335 t=127284
shu ju jie gou 	數據結構	c=24 d=0.22091 t=127284
shu ju jing zheng 	數據競爭	c=1 d=0.0584257 t=127284
shu ju ke 	數據可	c=1 d=1.72966e-05 t=127284
shu ju ku 	數據庫	c=106 d=3.89071 t=127284
shu ju ku de 	數據庫的	c=1 d=3.79664e-19 t=127284
shu ju lei xing 	數據類型	c=1 d=1.19368e-24 t=127284
shu ju liang 	數據量	c=3 d=0.0098528 t=127284
shu ju xian 	數據線	c=2 d=7.25385e-18 t=127284
shu ju xuan ze qi 	數據選擇器	c=1 d=2.64055e-41 t=127284
shu ju yong 	數據用	c=1 d=2.83211e-12 t=127284
shu ju yuan 	數據源	c=3 d=3.17408e-12 t=127284
shu ju zhi 	数据值	c=1 d=0.00414854 t=127284
shu ju zhong 	數據中	c=1 d=0.790571 t=127284
shu jue 	書角	c=2 d=2.00085e-05 t=127284
shu li tong ji xue 	数理统计学	c=1 d=0.873716 t=127284
shu lian 	熟練	c=4 d=0.0262756 t=127284
shu liang 	數量	c=34 d=0.995012 t=127284
shu ma 	數碼	c=1 d=0.00863914 t=127284
shu ma guan 	數碼管	c=2 d=0.123473 t=127284
shu mu 	數目	c=1 d=1 t=126542
shu nv 	熟女	c=1 d=1 t=124465
shu ru 	輸入	c=110 d=2.18977 t=127284
shu ru duan 	輸入端	c=5 d=1.46742 t=127284
shu ru fa 	輸入法	c=6 d=0.402524 t=127284
shu ru le 	輸入了	c=1 d=1.7652e-09 t=127284
shu ru yuan 	輸入源	c=1 d=1 t=126484
shu ru zhong wen 	輸入中文	c=1 d=0.843665 t=127284
shu shi 	屬實	c=1 d=0.254107 t=127284
shu shi 	舒適	c=0 d=3.41577e-41 t=127284
shu shi quan 	舒適圈	c=1 d=3.43289e-40 t=127284
shu shu 	叔叔	c=4 d=0.883116 t=127284
shu shu 	數數	c=1 d=2.79184e-20 t=127284
shu tou 	熟透	c=0 d=2.34124e-09 t=127284
shu tou le 	熟透了	c=1 d=2.35298e-08 t=127284
shu xi 	熟悉	c=29 d=0.858145 t=127284
shu xie 	書寫	c=3 d=2.20127e-16 t=127284
shu xin 	書信	c=1 d=8.21129e-06 t=127284
shu xing 	屬性	c=47 d=0.972872 t=127284
shu xing 	樹形	c=1 d=0.0206508 t=127284
shu xing ming 	屬性名	c=1 d=0.00196945 t=127284
shu xue 	數學	c=30 d=1.95364 t=127284
shu xue jia 	數學家	c=1 d=1.52481e-22 t=127284
shu xue ti 	數學題	c=1 d=1.05852e-22 t=127284
shu yi 	數億	c=1 d=0.00292342 t=127284
shu yu 	屬於	c=17 d=0.548313 t=127284
shu yu 	術語	c=4 d=0.794534 t=127284
shu yu shi 	屬於是	c=4 d=0.109701 t=127284
shu zhi 	數值	c=9 d=0.606531 t=127284
shu zhi 	豎直	c=1 d=2.23206e-05 t=127284
shu zi 	數字	c=35 d=1.62817 t=127284
shu zu 	數組	c=62 d=1.56994 t=127284
shua 	刷	c=37 d=1.08298 t=127284
shua bao 	刷爆	c=1 d=0.0332068 t=127284
shua dao 	刷到	c=2 d=0.375817 t=127284
shua le 	刷了	c=8 d=1.29424e-05 t=127284
shua shua 	刷刷	c=1 d=7.68513e-21 t=127284
shua ti 	刷題	c=1 d=7.06873e-08 t=127284
shua wan 	刷完	c=4 d=0.0158434 t=127284
shua xin 	刷新	c=13 d=0.0880368 t=127284
shuai 	摔	c=1 d=3.66731e-23 t=127284
shuang 	爽	c=31 d=2.04885 t=127284
shuang 	雙	c=6 d=2.19383 t=127284
shuang duan 	雙端	c=2 d=0.00282287 t=127284
shuang fang 	雙方	c=2 d=1.47729e-11 t=127284
shuang fei 	雙非	c=3 d=0.00264031 t=127284
shuang fei 	雙飛	c=1 d=0.00054485 t=127284
shuang ji 	雙擊	c=1 d=0.219808 t=127284
shuang le 	爽了	c=2 d=0.491644 t=127284
shuang shuang 	爽爽	c=0 d=1.17128e-08 t=127284
shuang shuang shuang 	爽爽爽	c=1 d=1.17715e-07 t=127284
shuang si 	爽死	c=2 d=0.865022 t=127284
shuang wai wai 	爽歪歪	c=1 d=7.62576e-18 t=127284
shuang xi tong 	雙系統	c=1 d=0.499074 t=127284
shuang xiang 	雙向	c=2 d=0.398519 t=127284
shuang yin hao 	雙引號	c=1 d=4.63407e-11 t=127284
shui 	水	c=4 d=0.319819 t=127284
shui 	睡	c=3 d=0.329789 t=127284
shui bo wen 	水波紋	c=7 d=0.00201325 t=127284
shui bu zhao 	睡不着	c=1 d=5.30206e-07 t=127284
shui chi 	水池	c=1 d=4.34687e-23 t=127284
shui jiao 	睡覺	c=30 d=1.31178 t=127284
shui jiao qian 	睡覺前	c=1 d=1.16282e-10 t=127284
shui le 	睡了	c=1 d=3.36331e-05 t=127284
shui ping 	水平	c=22 d=0.102119 t=127284
shui quan 	水泉	c=1 d=1.51123e-05 t=127284
shui qun 	水羣	c=2 d=5.42935e-27 t=127284
shui qun 	睡裙	c=1 d=2.55946e-27 t=127284
shui wan 	水碗	c=1 d=2.11693e-29 t=127284
